"ListID","ItemID","BlockID","BTrial","Audio","Type"
3,157,4,5,"wavs/kate/24umB.wav","test"
3,25,5,1,"wavs/kate/25.wav","filler"
3,26,5,2,"wavs/kate/26.wav","filler"
3,27,5,3,"wavs/kate/27.wav","filler"
3,28,5,4,"wavs/kate/28.wav","filler"
3,159,5,5,"wavs/kate/30umB.wav","test"
3,31,6,1,"wavs/mark/31.wav","filler"
3,32,6,2,"wavs/mark/32.wav","filler"
3,33,6,3,"wavs/mark/33.wav","filler"
3,34,6,4,"wavs/mark/34.wav","filler"
3,161,6,5,"wavs/kate/36umE.wav","test"
3,37,7,1,"wavs/mark/37.wav","filler"
3,38,7,2,"wavs/mark/38.wav","filler"
3,39,7,3,"wavs/mark/39.wav","filler"
3,40,7,4,"wavs/mark/40.wav","filler"
3,163,7,5,"wavs/kate/42umE.wav","test"
3,43,8,1,"wavs/mark/43.wav","filler"
3,44,8,2,"wavs/mark/44.wav","filler"
3,45,8,3,"wavs/mark/45.wav","filler"
3,46,8,4,"wavs/mark/46.wav","filler"
3,165,8,5,"wavs/kate/48umE.wav","test"
3,49,9,1,"wavs/kate/49.wav","filler"
3,50,9,2,"wavs/kate/50.wav","filler"
3,51,9,3,"wavs/kate/51.wav","filler"
3,52,9,4,"wavs/kate/52.wav","filler"
3,167,9,5,"wavs/kate/54umE.wav","test"
3,55,10,1,"wavs/kate/55.wav","filler"
3,56,10,2,"wavs/kate/56.wav","filler"
3,57,10,3,"wavs/kate/57.wav","filler"
3,58,10,4,"wavs/kate/58.wav","filler"
3,169,10,5,"wavs/kate/60umE.wav","test"
3,61,11,1,"wavs/kate/61.wav","filler"
3,62,11,2,"wavs/kate/62.wav","filler"
3,63,11,3,"wavs/kate/63.wav","filler"
3,64,11,4,"wavs/kate/64.wav","filler"
3,212,11,6,"wavs/kate/66umB.wav","test"
3,67,12,1,"wavs/kate/67.wav","filler"
3,68,12,2,"wavs/kate/68.wav","filler"
3,69,12,3,"wavs/kate/69.wav","filler"
3,70,12,4,"wavs/kate/70.wav","filler"
3,214,12,6,"wavs/kate/72umE.wav","test"
3,73,13,1,"wavs/kate/73.wav","filler"
3,74,13,2,"wavs/kate/74.wav","filler"
3,75,13,3,"wavs/kate/75.wav","filler"
3,76,13,4,"wavs/kate/76.wav","filler"
3,216,13,6,"wavs/kate/77uhE.wav","filler"
3,79,14,1,"wavs/kate/79.wav","filler"
3,80,14,2,"wavs/kate/80.wav","filler"
3,81,14,3,"wavs/kate/81.wav","filler"
3,82,14,4,"wavs/kate/82.wav","filler"
3,218,14,6,"wavs/kate/83uhE.wav","filler"
3,85,15,1,"wavs/kate/85.wav","filler"
3,86,15,2,"wavs/kate/86.wav","filler"
3,87,15,3,"wavs/kate/87.wav","filler"
3,88,15,4,"wavs/kate/88.wav","filler"
3,220,15,6,"wavs/kate/89uhE.wav","filler"
3,91,16,1,"wavs/kate/91.wav","filler"
3,92,16,2,"wavs/kate/92.wav","filler"
3,93,16,3,"wavs/kate/93.wav","filler"
3,94,16,4,"wavs/kate/94.wav","filler"
3,222,16,6,"wavs/kate/95uhE.wav","filler"
3,97,17,1,"wavs/kate/97.wav","filler"
3,98,17,2,"wavs/kate/98.wav","filler"
3,99,17,3,"wavs/kate/99.wav","filler"
3,100,17,4,"wavs/kate/100.wav","filler"
3,224,17,6,"wavs/kate/101.wav","filler"
3,103,18,1,"wavs/kate/103.wav","filler"
3,104,18,2,"wavs/kate/104.wav","filler"
3,105,18,3,"wavs/kate/105.wav","filler"
3,106,18,4,"wavs/kate/106.wav","filler"
3,226,18,6,"wavs/kate/107uhE.wav","filler"
3,121,21,1,"wavs/mark/121.wav","filler"
3,122,21,2,"wavs/mark/122.wav","filler"
3,123,21,3,"wavs/mark/123.wav","filler"
3,124,21,4,"wavs/mark/124.wav","filler"
3,125,21,5,"wavs/kate/122.wav","filler"
3,126,22,1,"wavs/mark/126.wav","filler"
3,127,22,2,"wavs/mark/127.wav","filler"
3,128,22,3,"wavs/mark/128.wav","filler"
3,129,22,4,"wavs/mark/129.wav","filler"
3,130,22,5,"wavs/kate/127.wav","filler"
3,131,23,1,"wavs/mark/131.wav","filler"
3,132,23,2,"wavs/mark/132.wav","filler"
3,133,23,3,"wavs/mark/133.wav","filler"
3,134,23,4,"wavs/mark/134.wav","filler"
3,135,23,5,"wavs/kate/132.wav","filler"
3,136,24,1,"wavs/mark/136.wav","filler"
3,137,24,2,"wavs/mark/137.wav","filler"
3,138,24,3,"wavs/mark/138.wav","filler"
3,139,24,4,"wavs/mark/139.wav","filler"
3,140,24,5,"wavs/kate/137.wav","filler"
3,141,25,1,"wavs/mark/141.wav","filler"
3,142,25,2,"wavs/mark/142.wav","filler"
3,143,25,3,"wavs/mark/143.wav","filler"
3,144,25,4,"wavs/mark/144.wav","filler"
3,145,25,5,"wavs/kate/142.wav","filler"
3,146,26,1,"wavs/mark/146.wav","filler"
3,147,26,2,"wavs/mark/147.wav","filler"
3,148,26,3,"wavs/mark/148.wav","filler"
3,149,26,4,"wavs/mark/149.wav","filler"
3,150,26,5,"wavs/kate/147.wav","filler"
4,1,1,1,"wavs/kate/1.wav","filler"
4,2,1,2,"wavs/kate/2.wav","filler"
4,3,1,3,"wavs/kate/3.wav","filler"
4,4,1,4,"wavs/kate/4.wav","filler"
